Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global Y (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
Line C: Structure Acceleration, RAO-Based Response - Global X (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
,,,
*Time (s),Line A (?s?,Line B (mm/s?,Line C (mm/s?
103.496,3.09E-02,-3.08E-02,-2.185800113
103.497,3.09E-02,-2.51E-02,-2.183041768
103.498,3.09E-02,-2.34E-02,-2.180046868
103.499,3.09E-02,-2.63E-02,-2.17677746
103.5,3.09E-02,-3.43E-02,-2.173153218
103.501,3.09E-02,-4.81E-02,-2.169145038
103.502,3.08E-02,-6.80E-02,-2.164566657
103.503,3.07E-02,-9.46E-02,-2.15921388
103.504,3.05E-02,-0.128136526,-2.152822912
103.505,3.04E-02,-0.168717088,-2.145041944
103.506,3.01E-02,-0.216317931,-2.135423012
103.507,2.99E-02,-0.270650344,-2.123545157
103.508,2.96E-02,-0.331125048,-2.108870074
103.509,2.92E-02,-0.39682386,-2.091017086
103.51,2.87E-02,-0.466491183,-2.069688402
103.511,2.82E-02,-0.538540771,-2.044898691
103.512,2.75E-02,-0.611096097,-2.016955987
103.513,2.67E-02,-0.682089594,-1.986743882
103.514,2.57E-02,-0.749377592,-1.955768792
103.515,2.47E-02,-0.80604176,-1.919833478
103.516,2.43E-02,-0.839089276,-1.869215281
103.517,2.38E-02,-0.859595835,-1.824962674
103.518,2.34E-02,-0.867576979,-1.790278242
103.519,2.31E-02,-0.863216002,-1.767183072
103.52,2.28E-02,-0.846847717,-1.75631477
103.521,2.27E-02,-0.819151057,-1.757101505
103.522,2.27E-02,-0.781455776,-1.768014161
103.52299,2.28E-02,-0.736123417,-1.786926412
103.524,2.30E-02,-0.686836487,-1.811569324
103.525,2.33E-02,-0.63863839,-1.839840785
103.526,2.36E-02,-0.597767008,-1.870048116
103.527,0.024142187,-0.571112614,-1.900628675
103.528,2.47E-02,-0.565443072,-1.92947546
103.529,2.54E-02,-0.586187234,-1.952785184
103.53,2.63E-02,-0.627543835,-1.952023013
103.531,2.72E-02,-0.691027148,-1.92895392
103.532,2.78E-02,-0.778585847,-1.893777051
103.533,2.80E-02,-0.879603205,-1.846265863
103.534,2.78E-02,-0.980456593,-1.790489885
103.535,2.72E-02,-1.067100093,-1.735265832
103.536,2.65E-02,-1.128510106,-1.691790996
103.53699,2.59E-02,-1.152035315,-1.665416989
103.538,0.025704488,-1.132596633,-1.658737776
103.539,0.025633167,-1.086256001,-1.678863191
103.54,2.57E-02,-1.023464254,-1.71674951
103.541,2.59E-02,-0.960403646,-1.759587089
103.542,2.63E-02,-0.917199941,-1.794466982
103.543,2.69E-02,-0.902889413,-1.799979014
103.544,0.027409328,-0.937558769,-1.778677339
103.545,2.77E-02,-1.019143616,-1.729882671
103.546,2.77E-02,-1.127175754,-1.657916815
103.547,2.75E-02,-1.23100169,-1.578601543
103.548,2.72E-02,-1.302310731,-1.516754157
103.549,2.71E-02,-1.323789707,-1.494585536
103.55,2.71E-02,-1.292718807,-1.517793746
,3.32E-02,2.15E+00,2.686223481
,2.27E-02,-1.32E+00,-2.840664936
